OFICINA|FEATURE1|FEATURE2|FEATURE3|FEATURE4|FEATURE5|FEATURE6|FEATURE7|FEATURE8|FEATURE9|FEATURE10|FEATURE11|FEATURE12|FEATURE13|FEATURE14|FEATURE15|FEATURE16|FEATURE17|FEATURE18|FEATURE19|FEATURE20|FEATURE21|FEATURE22|FEATURE23|FEATURE24|FEATURE25|FEATURE26|FEATURE27|FEATURE28|FEATURE29|IOS|SW|IOS_MAIN|IOS_TYPE
SW_BOSA|NO|SI|NO|SI|SI|NO|SI|SI|NO|SI|NO|NO|NO|SI|SI|NO|NO|NO|NO|SI|NO|NO|NO|NO|NO|NO|NO|NO|SI|c2960-lanbasek9-mz.122-50.SE4/c2960-lanbasek9-mz.122-50.SE4.bin|WS-C2960G-24TC-L|12.2(50)SE4|C2960-LANBASEK9-M
SW_CIUDAD_BOLIVAR|NO|SI|NO|SI|SI|NO|SI|SI|NO|SI|NO|NO|NO|SI|SI|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|SI|c3750e-universalk9-mz.150-2.SE2/c3750e-universalk9-mz.150-2.SE2.bin|WS-C3750X-24|15.0(2)SE2|C3750E-UNIVERSALK9-M
SW_KENNEDY_3CER_PISO|NO|SI|NO|SI|SI|NO|SI|SI|NO|SI|NO|NO|NO|SI|NO|NO|NO|NO|NO|NO|NO|NO|SI|NO|NO|NO|NO|NO|SI|c3750e-universalk9-mz.150-2.SE2/c3750e-universalk9-mz.150-2.SE2.bin|WS-C3750X-48|15.0(2)SE2|C3750E-UNIVERSALK9-M
SW_KENNEDY_4TO_PISO|NO|NO|NO|SI|SI|NO|SI|SI|NO|SI|NO|NO|NO|NO|NO|NO|NO|SI|SI|NO|NO|NO|NO|NO|NO|NO|NO|NO|SI|c2960-lanbasek9-mz.122-50.SE4/c2960-lanbasek9-mz.122-50.SE4.bin|WS-C2960-48TT-L|12.2(50)SE4|C2960-LANBASEK9-M
SW_MARTIRES|NO|SI|NO|SI|SI|NO|SI|SI|NO|SI|NO|NO|NO|SI|SI|NO|NO|NO|NO|SI|NO|NO|NO|NO|NO|NO|NO|NO|SI|c2960-lanbasek9-mz.122-50.SE4/c2960-lanbasek9-mz.122-50.SE4.bin|WS-C2960G-24TC-L|12.2(50)SE4|C2960-LANBASEK9-M
SW_SAN_CRISTOBAL|NO|SI|NO|SI|SI|NO|SI|SI|NO|SI|NO|NO|NO|SI|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|SI|c3750e-universalk9-mz.122-53.SE2/c3750e-universalk9-mz.122-53.SE2.bin|WS-C3750X-24|12.2(53)SE2|C3750E-UNIVERSALK9-M
SW_SUBA_PONTEVEDRA_PISO1|NO|SI|NO|SI|NO|NO|SI|SI|SI|SI|NO|NO|NO|SI|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|SI|c3560-ipbase-mz.122-35.SE5/c3560-ipbase-mz.122-35.SE5.bin|WS-C3560-24PS|12.2(35)SE5|C3560-IPBASE-M
SW_SUBA_PONTEVEDRA_PISO3|NO|SI|NO|NO|NO|NO|NO|SI|NO|SI|NO|NO|NO|SI|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|SI|c3500XL-c3h2s-mz-120-5.3.WC.1.bin|WS-C3548-XL-EN||
SW_USME|NO|SI|NO|SI|SI|NO|SI|SI|NO|SI|SI|NO|NO|SI|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|SI|c2960-lanbasek9-mz.122-50.SE4/c2960-lanbasek9-mz.122-50.SE4.bin|WS-C2960G-24TC-L|12.2(50)SE4|C2960-LANBASEK9-M
SW_FONTIBON|NO|SI|NO|SI|SI|NO|SI|SI|NO|SI|NO|NO|NO|SI|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|SI|c2960-lanbasek9-mz.122-50.SE4/c2960-lanbasek9-mz.122-50.SE4.bin|WS-C2960-24TC-L|12.2(50)SE4|C2960-LANBASEK9-M
SW_USAQUEN|NO|SI|NO|SI|SI|NO|SI|SI|NO|SI|NO|NO|NO|SI|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|SI|c2960-lanbasek9-mz.122-50.SE4/c2960-lanbasek9-mz.122-50.SE4.bin|WS-C2960-24TC-L|12.2(50)SE4|C2960-LANBASEK9-M
C4_SCJ-Core|SI|SI|SI|NO|NO|SI|SI|SI|NO|SI|SI|NO|NO|SI|NO|NO|SI|SI|NO|NO|SI|NO|NO|SI|NO|NO|NO|NO|SI|CAT3K_CAA-UNIVERSALK9-M|WS-C3650-48PQ|03.03.05SE|cat3k_caa-universalk9
C4_SGD-1|NO|SI|NO|NO|SI|NO|SI|SI|NO|SI|SI|NO|NO|SI|NO|NO|NO|NO|NO|SI|NO|NO|NO|NO|NO|NO|NO|SI|SI|c2960x-universalk9-mz.152-2.E3/c2960x-universalk9-mz.152-2.E3.bin|WS-C2960X-48FPD-L|15.2(2)E3|C2960X-UNIVERSALK9-M
C4_SGD-2|NO|SI|NO|NO|SI|NO|SI|SI|NO|SI|NO|NO|NO|SI|NO|NO|SI|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|NO|SI|c2960x-universalk9-mz.152-2.E3/c2960x-universalk9-mz.152-2.E3.bin|WS-C2960X-48FPD-L|15.2(2)E|C2960X-UNIVERSALK9-M
